key,n,nd_approx,samples
ref,967766,643574,"[66ddd81a-0aca-11e7-82f6-3863bb44ef7c, R2, 'Ketzendorf 19, 21614 Buxtehude', 'Gerhardstr. / Schevastesstr., 53229 Bonn', 69826201, 132/6, 803832, 533]"
contact:phone,784803,517568,"[+7 495 6600550;+7 495 7899669, +7 495 7057575, +49 6257 5051698, 255688775626, 255755766878, +1 315 422 0044, +7 800 2500890, +7 495 2254242]"
description,766293,504500,"[Layby, Kancelaria rzymskokatolickiej parafii św. Faustyny Kowalskiej w Sękocinie Starym, 'Shipwreck, possibly the remains of a barge used in the dredging and expansion of the local keys.', 'Fahrkarten, Kaffeespezialitäten, Backwaren, Snacks, Getränke, Tabakwaren, Zeitschriften, Handykarten, Eis', Minedu 50870043, 'A Biblioteca do Departamento de Ciências Exatas e Aplicadas – DECEA surgiu junto com a criação do Campus de João Monlevade em setembro de 2002.

A biblioteca recebeu o nome de José Francisco Ferreira Nunes, homenageando assim, um Prof. da cidade de JM', SubCentre, Mozzarella di bufala campana]"
contact:website,649325,203894,"['http://www.anrotec.de/', 'https://www.engelvoelkers.com/de-de/euskirchen/', 'http://www.ballheim.com/', 'https://www.textilmechanik.de/', 'https://www.ozon.ru/', 'https://www.ozon.ru', 'https://www.chelinvest.ru/', 'http://www.saintjulienlesrosiers.fr']"
email,598554,661012,"[vikasenteret.apotek@boots.no, kontakt@hausaerztinnen-hd.de, poststelle@fa20.berlin.de, conta@guerrero.mx, joerg.nienstedt@vtp.devk.de, farmaciabetel01@gmail.com, hs7.wels@eduhi.at, pracownia@rzeczgustu.art]"
note,401784,152289,"['Check spelling : MO&PI1  ??', Le château incontournable de part son architecture et ses jardins., Mehrere Personen haben hier ihr Büro., 'Approximate location and elevation based on satellite imagery (primary BingSat), OpenSRTM and OpenTopo map.', 地蔵, 参加过朝鲜战争，击落击伤过4架敌机, 'В распоряжении данного формирования НЕТ ТЕХНИКИ, ПРИСПОСОБЛЕННОЙ ДЛЯ НУЖД ПОЖАРОТУШЕНИЯ. т.е. fire_station здесь неуместна', ehemaliges Postamt]"
contact:email,357841,246944,"[noe.voice@aon.at, info@kleintierzentrum-greven.de, info@traktorodetal.ru, bageldashery@gmail.com, obraschenie@eurotorg.by, mairie-st-julien@orange.fr, support@citrus.ua, sthlmshop@kasthall.com]"
contact:facebook,324836,199418,"['https://www.facebook.com/bancaintesa.rs/', 'https://www.facebook.com/wbbot', 'https://www.facebook.com/greenacreswexford/', 'https://www.facebook.com/TICBrezno/', 'https://www.facebook.com/wearecloudworks', 'https://www.facebook.com/carskoe', 'https://facebook.com/ATAOnantes/', @Cafe.KYRO]"
addr:full,283415,218457,"[Lami Chour, Pipli Acharyan, 新北市三峽區和平街36巷7弄1號, Pasaje Unanue 108, 高雄市鳳山區國光里新富路383號, Jharoli, Pakuwon Mall Level LG, Manzana D Lote 10]"
start_date,281204,31659,"[2021, 1924, 1819, 1901, 2017-03-01, 1930, 10. Februar 2015, 1950]"
wikidata,276672,295119,"[Q11160826, Q124037294, Q5202729, Q3558914, Q66566701, Q26526587, Q15961646, Q1774968]"
name:ru,274097,102371,"[Памятник Свердлову, Дьюти Фри King Power, Планетарий, Столовая ОАО «Междулесье», Источник, Магнит, Эльдорадо, 'Халк банк (Народный банк)']"
branch,264735,136016,"[Råkvåg, Oslo City, 武蔵野台駅店, Szőlő utca, Среднерусский банк, africa, 美廉社仁德中正西店, 台南崇明店]"
addr:suburb,262785,43411,"[Residencial Novo Horizonte, 鶴見区, Eckersbach, Darly Santos, Borla, Leinefelde, Centro, 宮城野区]"
gnis:feature_id,255667,255877,"[1514089, 2420268, 2456034, 1384933, 2019457, 2462507, 1186248, 238367]"
ref:FR:SIRET,231906,228075,"[21330411600014, 40212195800860, 42157582000178, 89419258200027, 53299332600034, 90292053700021, 30970699200356, 33844871500023]"
inscription,220263,165147,"[Cześć bohaterom ZWM którzy w latach 1945-48 polegli na terenie Wielkopolski w walce o utrwalenie władzy ludowej, 昭和二年七月　京都三宅安兵衛依遺志建之, 'point of rocks former location of Santa Fe,  Prescott, & Phoenix Railway buildings.', Jubilée - An 2000, FUNDATOR
Jan Pabis
1902 r., US pilot Lt William Johnson lost his life when his B17 crashed in this area 13-4-1944, 'Dans cet immeuble vécut René Leynaud (1910-1944), journaliste au Progrès de Lyon, grand résistant, membre du Mouvement Combat. Arrêté par la Milice Française le 16 mai 1944, livré à la Gestapo, et emprisonné à Montluc, il est exécuté à Villeneuve (Ain)...', Ślad torowiska Średzkiej Kolei Powiatowej]"
contact:instagram,215606,105667,"['https://www.instagram.com/gaertnerei.pause/', goshentlv, 'https://www.instagram.com/lechardon_ttt/', 'https://www.instagram.com/dodopizza', 'https://www.instagram.com/dobrostroy_gm', 'https://www.instagram.com/teresas_wayne/', 'https://instagram.com/7.kleidia.kafeneio', centropumaometepe]"
name:ja,213442,100264,"['沼田公園(1)', 中島郵便局, はま寿司, 神田スクエア, ファミリーマート, ごはん屋 かきのき村, カラオケ まねきねこ, 酒肴ゆぐち]"
addr:unit,207336,22019,"[C, B1, 400, C1, B, FC4, 1205, 1]"
name:uk,189183,77609,"['Піцерія ""Моменто""', Репетитор з математики - Безбородько Михайло Юрійович, Пекарня, Сім23, Васко, Міська Держветлікарня, Беседка, Нова Пошта №245]"
alt_name,181887,111533,"[Sergentsmessen Gardens kaserne Høvelte, 'Dunkin\' Donuts', Ford, Obec Dvory, PFK;Poulet Frit Kentucky, الشيخ يوسف, 'Dunkin\' Donuts', Sunrise Shop Migros City]"
image,173490,180378,"['https://goo.gl/maps/Bb7smAaPeuYSP1Q37', 'https://trdlokafe.cz/wp-content/uploads/2024/07/Final25of63-1-scaled.jpg', 'https://web.archive.org/web/20220719151514/https://westnordost.de/p/103073.jpg', 'http://commons.wikimedia.org/wiki/File:Germany_bad_bramstedt_grenzstein_1674_in_gebaeude.jpg', 'https://photos.app.goo.gl/AhvXdvEpBP1SaHg77', 'https://upload.wikimedia.org/wikipedia/it/5/55/Ciceruacchio.jpg', 'https://photo.isu.pub/coreoptimalhealthsolutions/photo_large.jpg', 'http://www.flickr.com/photos/33766294@N03/9341466677/']"
addr:subdistrict,171770,33432,"[Acotama, Selva Virgen, Chirawa, 호계동, Nuevo Chimbote, Las Lomas, Trâu Qùy, 덕포동]"
name:ar,152319,108723,"[مخبز تادم اودون, مدرسة العلا, نور الافق, موقف سيارات النقل الحضري, الحلواني, كافيتريا الإجازة, مطعم البندقية الإيطالي, بنك قوات تورك]"
fixme,148122,39293,"[type, přesná pozice, castle/fort/memorial/ruins, Position approximative., 'Freeform tag `cuisine` used, to be doublechecked', Survey for ref, detaljer saknas, 'survey the station, remove FIXME only when the station is operational and update check_date']"
official_name,140270,54622,"[БЕРЕЗНИКИ 1, Comisaría 37 Valle Pucu, Santander Group, 'Papa Murphy\'s Take \'N\' Bake Pizza', Starbucks Coffee, Industriegewerkschaft Metall, Malia Coiffeur & Institut De Beauté Arnage, Ngân hàng Đầu tư và Phát triển Việt Nam]"
name:zh,132794,73111,"[红叶谷, 粉之都, 肯德基, 罗西尼小道基诺店, 健康西药行Prima Setapak分店, 全家便利商店, 全家便利商店, 快鱼]"
wikimedia_commons,126501,114643,"['Category:Roter Mainsandstein (Yoshikuni Iida)', 'File:Stolperstein Fritzlar Fraumünsterstraße 2 Ruth Rebekka Speier.jpg', 'File:Augustów Roundup Memorial in Giby 02.jpg', 'Category:Grabmal Familie Röber (Winkelmühle)', 'File:Bicycle Repair Station - Zabuże-Ogródki, PL.jpg', 'Category:Kreuz_Stockem_21_(Eupen)', 'File:Lignana Affresco votivo Madonna di Oropa.jpg', 'Category:Daiganji']"
short_name,117563,34266,"['Jersey Mike\'s', DOZ, МФЦ, FO, Citi, HDFC, OTP, Warung Qta-Qta]"
artist_name,112280,67457,"[Kristin Kokkin, Artisti Vari, Emil Jensen, Gunter Demnig, 朱銘, Will Ryman, Élie Raset, Nic. Schøill]"
addr:neighbourhood,104752,32792,"[Gazi Kemal Paşa Mahallesi, 丙, Aranjuez, Mimar Sinan Mahallesi, 4丁目, Mimar Sinan Mahallesi, Zona Centro, 栄町]"
name:ko,102036,65066,"[구기치안센터 앞, 농협, 현대동물병원, KCYCLE 조형물, 퀸모텔, 세븐일레븐, 경희한사랑한의원, 동대문구청]"
name:fr,101461,51574,"[fruits et légumes, Green Palm Hotel, Thé adrar, FamilyMart, EPSP, 'Borne Vauthier № 5 : Dixmude', Dermatologue Tighlite, 'Pirogues vers l\'ile de Ngor']"
wikipedia,100066,70848,"['en:CPC Corporation', 'pt:Casa de Juvenal Galeno', 'my:ရွှေပေါ်ကျွန်းစေတီတော်', 'es:Museo Ulpiano Checa', 'de:Burg Herwartstein', 'de:Schmeersteine', 'fr:Tour du Père-Labat', 'cs:Dům pod půlměsícem']"
fax,97790,92427,"[+49 5632 9495-96, +49 202 9463836, +7 7112 248403, +48 67 351 18 88, +65 65850984, +43 4875 66577, +34 942884505, +49 621 479320]"
name:es,91594,77609,"[Biblioteca Pública de Santa María, Oficina de Correos de Akagawa, Banco Sabadell, Oficina de Correos, Oficina de Correos de Murayama Meiji, Túnel de San Adrián, Banco Santander, Coccolati]"
fhrs:id,91013,85264,"[1020655, 1672813, 1093407, 1209410, 1174884, 1874372, 911562, 559744]"
addr:housename,90892,50373,"[School, 2324, Health center, ২২, Salto Shopping, South Terminal Landside, Eldorado Outpost, 'The Street, Westfield Stratford City']"
mapillary,90854,88335,"[1395343360983050, 567571660890550, 3745136982279769, 1047861960352317, 189365589685121, 0HquZQ86AgUnc99_QK98ng, 917183439015030, 1102622566915325]"
addr:place,87825,53365,"[DHA Phase 5, Valle San Martino I, 'C1, Aditya Inclave', Rathausplatz, Znojmo, Massane, Muttenz, Princes Mall]"
contact:street,85825,22637,"[rue du Cardinal Fesch, Rue des Halles, Avenue Georges Clemenceau, Rue Des Halles, Rue Du Marché, Via Augusto Armelio, 'Place de l\'Hôtel de Ville', Route De Besancon]"
url,70446,67799,"['https://www.mcarthurglen.com/nl/outlets/nl/designer-outlet-roermond/eten-drinken/madaq/', 'https://www.online-begraafplaatsen.nl/zerken.asp?command=showzerken&bgp=2777', 'http://www.pizzaboutique.com', 'https://zabytek.pl/pl/obiekty/g-292989', 'http://ancien-geodesie.ign.fr/fiche_point.asp?num_site=69238A&no_ptg=01&numero_f50=2932', 'https://www.podolie.sk/pamiatky-v-obci/', 'http://www.ajaloomuuseum.ee/', 'http://turistautak.hu/poi.php?id=35200']"
old_name,66472,62453,"[La civette du Cap Brun, Harrow Post Office, Kose A&O, La Jarana, Michael J. Dillon Memorial United States Courthouse, Au Comptoir des Capucins, Albany Taproom, Vons 2139]"
name:be,61019,21885,"[Мінск Крышталь, Паравоз Эм 726-23, Оптыка, Газпрамнафта № 48, Шынамантаж, ФарбХауз, Белаграпрамбанк, прадуктовы аддзел]"
panoramax,54079,43049,"[7afdd98b-266b-4c27-a910-38877f66b37d, 6e88bf85-9eef-4e26-a5dd-a3e9793e495a, 17fbf59d-41ec-469a-a0e0-d65c1d8ee510, 7464ea4f-83ae-40e0-bf9c-b3dac96ae8e3, 6b8c5f15-7036-49f9-963d-ec421179b9f0, ab2890dc-755e-46a2-8bd4-7f2280289bf1, 2138d983-10f1-41ce-8867-b413db0367c8, fca8ba09-2d93-4d54-9c5a-906474a402f2]"
KSJ2:ADS,52374,58384,"[加美東2-9-3, 紫4-8-1, 二タ子3-2-46, 近見町高畑1-3-36, 大谷口1089-1, 長岡138-2, 八尾町東町2149, 誠道町222]"
contact:fax,51853,48409,"[+49 5222 233 4301, +4999131708, +49 5743 920470, +31 528 279 215, +49 6507 939481, +43 5287 855099, +49 381 375 081 25, +49 2053 2183]"
name:de,50683,27052,"[Blumen Korus, Oschtschadbank, Anganwadi, Soziales Wohnen und Obdachlosenhilfe, Schlacht auf dem Amselfeld, Anganwadi, Bader & Fringer GmbH, Imping Kaffee]"
mobile,49286,59143,"[+52 639 107 5350, +39 339 591 3570, '9849965608,9849808626', +33 6 86 41 58 68, +98 913 167 3085, +1 862-258-1154, 016-884 0160, +48 501 674 849]"
name:ko-Latn,48855,45157,"[Ilgwanginterieo, Gimyujaemachwitongjeunguihakgwauiwon, Jeonjibogeonjinnyoso, CGV, Busangyeongnamyangdonnonghyeop, Nammyeonjuyuso, Hanbyeongnuhoetjip, Juamchamsaranguiwon]"
ref:vatin,46578,27532,"[IT00147610315, IT00097660955, IT04035920752, FR58842530149, IT11286320962, DE115055186, DE190031496, IT02310740424]"
subject:wikidata,43646,25011,"[Q277242, Q57845, Q213675, Q315222, Q13099586, Q131311, Q5911250, Q1001]"
contact:mobile,43596,40107,"[+36 70 600 2240, +34 624 509 740, +995 598 73 21 06, +7 747 7414593, 9444021560, +32 488 44 55 54, +7 927 0502220, +66 85 179 5818]"
int_name,38537,23800,"[Sana, Kyllini, Fuki, NIS Petrol, Apteka, Forest Adventure Mt. FUJI, Municipal Bank, Pamiežnaja zona]"
source:url,35258,26734,"['http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/75974/', 'http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/55086/', 'http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/77547/', 'https://datos-ckan.vigo.org/dataset/parking-discapacitados', 'http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/57748/', 'http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/5885/', 'http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/25156/', 'http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/44431/']"
ref:drobne_pamatky,34270,33705,"[5311, 50815, 46402, 41619, 67561, 27909, 13715, 50877]"
ref:DK:cvr,32438,22824,"[44045982, 12626509, 69458416, 38309226, 38407325, 29189986, 44688107, 36980214]"
ref:FR:SIREN,31503,31837,"[839988383, 489679308, 527987507, 909242950, 802729939, 809816523, 789518792, 508099173]"
ref:DK:cvr:pnummer,30445,26266,"[1028815464, 1029585020, 1013399421, 1014111995, 1017702331, 1024791072, 1018786970, 1003624575]"
fvst:navnelbnr,30106,30804,"[529990, 1482953, 1476817, 698866, 1111319, 1250686, 987504, 988463]"
wheelchair:description,29406,21382,"['Restaurant befindet sich Souterrain, kein Aufzug', Die Praxis ist durch einen Treppenlift erreichbar., Zugang über den Seiteneingang, Toilette nicht barrierefrei!, 'rámpa (rövid és keskeny)', Escalón más alto a 7 cm, 境内は砂利道おおし, 1 kleine Stufe am Eingang]"
facebook,27238,27353,"['https://www.facebook.com/profile.php?id=61577886703980', Ferme la Reboule, 'https://www.facebook.com/BottanCarloCSrl/', 'https://www.facebook.com/instaltermo/', 'https://www.facebook.com/p/Le-bar-du-coin-100063456763629/', 'https://www.facebook.com/MarcosNewYorkItalianLondonBridge', 'https://www.facebook.com/Artisan-cafe-320893348061927/', 'https://www.facebook.com/profile.php?id=61584717545896']"
destination,25972,26288,"[Dossena;Valpiana;Oltre il Colle|San Giovanni Bianco;San Giovanni Bianco - Ciclovia Val Brembana, 'Gavarnie;Chalet du Pailla;Parc National;Cirque de Gavarnie;Refuge des Espuguettes;Hourquete d\'Alans;Petit Piméné;Barrage des Gloriettes', 'Vani Alti;Biv. Reali 3:15;Croda Granda 3:45|Forc. de la Grave 1:15; Rif. Treviso 2:15|M.ga Cavallera 0:15;Domadore 0:50;Sarasin 1:15|M.ga Camp 1:00;Passo di Luna 1:30;Rif.Scarpa 2:30|Forc. d\'Oltro;Passo Cereda;Inn. Sent. 718 A.V.2', Ste Cécile les Vignes;Galifet|Cairanne;La Béraude Ouest, 'Passo Balinello 01:00;Fontana del Boia 01:45;Diga Brasimone 02:50|Stagno 00:20;Pavana 03:20;Molino Pallone 07:30', Narbate;Legasa, San Marco;San Michele|Sogno;Colle di Sogno, 'Madonna del Ronvello 1;P8;Colle Angelino h 2:15;Colle di Ferriere h 3:15;Colle dell\'Ortiga h 3:30']"
SEP:CLAVEESC,24874,23800,"[02DPB0041U, 14DPR3173L, 18KJN0295R, 02DJN0591H, 14EES0052Y, 14DJN0312L, 14EPR0184W, 14DJN0742B]"
name:zh-Hant,24793,21457,"[蝦皮店到店, 車鑑會, 潮寮國中, 第一專科中心, 北竿分隊, 澳門航空食品供應股份有限公司, 曾憲梓運動場, 818茶餐室]"
ref:FR:FINESS,24367,24289,"[970465407, 840019012, 690009816, 560016974, 370006843, 460005929, 130040397, 750010563]"
name:zh-Hans,23981,20052,"[神秘山寨, 城隍庙遗址, 杰赛科技（马来西亚）有限公司, 台湾彩券, 绿在顺利, 麦当劳, 海底捞火锅, 关渡医院]"
direction_north,21877,20626,"[Ermsleben 2.5 km, Achern 24;Stadtmitte 0.7, Kirchberg;Ruetzen, Barrien 4.8 km; Gessel 3.7 km; Bahnhof 0.4 km, Strand 1.7 km, '(Bf) Oldenburg 11 km; Metjedorf 11 km; KP 05', Siechenbachtalweg Graba/Saale 3.0 km; zum Fernwanderweg E3, Berkheim 3.4;Nellingen 2.2]"
direction_south,21632,20272,"[Vo Ausgangspunkt Kurparksee 0.3 km;Vb Ausgangspunkt Kurparksee 0.3 km;1 Ausgangspunkt Kurparksee 0.3 km;♿ Ausgangspunkt Kurparksee 0.3 km, Zentrum, Altharlingersiel 3.9 km;Harlebucht erfahren, 'Heide 18; Meldorf 18;Nordhastedt 10;Sarzbüttel 8,5', Lautenbach 2.5;Scheuern 0.8, 30, Gohlis 5.1 km; Zschepa 3.1 km, Altnuifra 5.0;Haiterbach 3.0]"
direction_west,20929,21904,"[Möglingen 3.7 km, Warendorf 14 km; Sassenberg 11 km, Bad Oldesloe; Hamberge, 'Blühnbachtalrundweg 4h 12;Eckberthütte, unbewirtschaftet 4h 12,415;Hochwiessattel/Verbundsteig 6h 12,457', 'Grasbeuren 2,2; Killenweiher 3; Baitenhausen 5,5; Meersburg 8,5', Ortsmitte 10min, 'Les Fechoz 0.2km 0h05;Verrens Arvey (Arvey) 2.3km 0h50;Plancherine 2.8km 1h00', Mörla]"
ref:EU:EVSE,19738,22288,"[PT*EDP*E*OER*00243*01;PT*EDP*E*OER*00243*02, AT*DAS*E20000104, GR*NRG*E1071*1;GR*NRG*E1072*1, PT*TRK*E*MTA*00067*01;PT*TRK*E*MTA*00067*02, PL*ELO*E1700*2757*0*B, DE*MER*E006740, FR*QOV*P5900001, FR*S66*P66037*002]"
